,County,County Code,Deaths sum,summed_crude_rate,summed_adjusted_rate
297,"DeKalb County, GA",13089,77.0,10.140959334753067,
298,"Douglas County, GA",13097,15.0,10.24989237613005,
301,"Fulton County, GA",13121,86.0,8.083185376577749,8.083185376577749
303,"Gwinnett County, GA",13135,87.0,9.292389853137516,9.808632872292451
305,"Hall County, GA",13139,28.0,13.695882919766582,
306,"Henry County, GA",13151,20.0,8.526566650039861,8.42625359897198
307,"Houston County, GA",13153,15.0,9.501909883886661,
308,"Jackson County, GA",13157,10.0,13.702947504008112,
309,"Muscogee County, GA",13215,16.0,8.17289764978112,
310,"Newton County, GA",13217,14.0,12.528636884306987,
311,"Paulding County, GA",13223,14.0,8.30037885300622,
312,"Richmond County, GA",13245,13.0,6.419182492420426,
313,"Whitfield County, GA",13313,15.0,14.336506480100928,
315,"Hawaii County, HI",15001,37.0,18.361098291425368,
318,"Honolulu County, HI",15003,103.0,10.568839572198,
319,"Maui County, HI",15009,18.0,10.751596313397087,
322,"Ada County, ID",16001,61.0,12.666454866929547,
323,"Bannock County, ID",16005,11.0,12.527332361516036,
324,"Bonner County, ID",16017,12.0,26.235816261833445,
325,"Bonneville County, ID",16019,15.0,12.598478103845055,
327,"Canyon County, ID",16027,35.0,15.227388415873028,15.562056273197202
328,"Kootenai County, ID",16055,14.0,8.449157196569642,
329,"Twin Falls County, ID",16083,10.0,11.510393885678768,
337,"Cook County, IL",17031,438.0,8.504469603608225,8.504469603608225
339,"DuPage County, IL",17043,57.0,6.176043236636722,5.929001742768605
341,"Kane County, IL",17089,38.0,7.137450390024099,
343,"Lake County, IL",17097,43.0,6.173415549828795,
345,"McHenry County, IL",17111,22.0,7.14810217887151,
346,"Macon County, IL",17115,10.0,9.614552586795375,
347,"Madison County, IL",17119,16.0,6.084436771293627,
348,"St. Clair County, IL",17163,13.0,5.006045762959882,
349,"Sangamon County, IL",17167,20.0,10.273691131749816,10.572925603134019
